station_meteo_id;num_poste;nom_station;latitude;longitude;altitude_m
MF_69008001;69008001;ANCY_SAPC;45,843333;4,508167;626
MF_69028001;69028001;BRINDAS;45,713333;4,693167;317
MF_69029001;69029001;LYON-BRON;45,721333;4,949167;202
MF_69066003;69066003;COURS LA VILLE_SAPC;46,098667;4,325833;578
MF_69114001;69114001;LIERGUES_SAPC;45,976500;4,650333;290
MF_69123002;69123002;LYON TETE D'OR;45,772833;4,855167;170
MF_69135001;69135001;MONSOLS;46,219167;4,523167;525
MF_69141001;69141001;MORNANT;45,614500;4,673833;343
MF_69174002;69174002;LES SAUVAGES;45,935333;4,384167;831
MF_69196001;69196001;ST-DIDIER-BEAUJ;46,164167;4,566333;345
MF_69203001;69203001;ST-GENIS-L'ARGENTIERE;45,700000;4,484500;512
MF_69204002;69204002;ST-GENIS-LAVAL;45,694667;4,782333;290
MF_69206001;69206001;ST-GEORGES-REN;46,058167;4,710833;190
MF_69238001;69238001;ST-SYMPHORIEN-C;45,638667;4,471333;610
MF_69239002;69239002;SAINT-VERAND;45,916333;4,521167;390
MF_69258001;69258001;VAUXRENARD;46,217000;4,628500;740
MF_69264001;69264001;VILLEFRANCHE;45,987167;4,737667;174
MF_69299001;69299001;LYON-ST EXUPERY;45,726500;5,077833;235
